F603,1233643,1233643,LEM,SANKYO PHARMA,,2002-12-10,2003,2004,,0,2002-12-10,2002-12-10
F603,E00085,E00085,LEM,Planning and Conservation League,,2000-12-31,2001,2002,,0,2000-12-31,2000-12-31
F603,E24609,E24609,LEM,United Farm Workers of America AFL-CIO,,2001-1-1,2001,2002,,0,2001-1-1,2001-1-1
F603,E00019,E00019,LEM,American Cancer Society California Division Inc.,,2001-1-1,2001,2002,,0,2001-1-1,2001-1-1
F603,E01348,E01348,LEM,California Faculty Association,,2001-1-1,2001,2002,,0,2001-1-1,2001-1-1
F603,E00823,E00823,LEM,Union of American Physicians and Dentists,,2001-1-1,2001,2002,,0,2001-1-1,2001-1-1
F603,E00835,E00835,LEM,PHARMACIA,,2002-12-19,2003,2004,,0,2002-12-19,2002-12-19
F603,E24756,E24756,LEM,"California Rural Legal Assistance Foundation, Inc.",,2002-12-20,2003,2004,,0,2002-12-20,2002-12-20
F603,E00453,E00453,LEM,Ford Motor Company,,2002-12-20,2003,2004,,0,2002-12-20,2002-12-20
F603,E01348,E01348,LEM,California Faculty Association,,2002-12-20,2003,2004,,0,2002-12-20,2002-12-20
F603,E00019,E00019,LEM,"American Cancer Society, California Division, Inc.",,2002-12-20,2003,2004,,0,2002-12-20,2002-12-20
F603,E20843,E20843,LEM,"WASTE MANAGEMENT, INC. & AFFILIATED ENTITIES",,2002-12-19,2003,2004,,0,2002-12-19,2002-12-19
F603,E21972,E21972,LEM,American Heart Association,,2001-5-15,2001,2002,,1,2001-5-15,2001-5-15
F603,E01348,E01348,LEM,California Faculty Association,,2001-5-23,2001,2002,,1,2001-5-23,2001-5-23
F603,E00259,E00259,LEM,California Nurses Association,,2001-5-23,2001,2002,,1,2001-5-23,2001-5-23
F603,E00259,E00259,LEM,California Nurses Association,,2001-5-23,2001,2002,,2,2001-5-23,2001-5-23
F603,E24497,E24497,LEM,Protection and Advocacy Inc,,2001-5-23,2001,2002,,1,2001-5-23,2001-5-23
F603,E24100,E24100,LEM,NATIONAL AUDUBON SOCIETY,,2001-1-17,2001,2002,,0,2001-1-17,2001-1-17
F603,E00789,E00789,LEM,California State Council of Service Employees E00789,,2002-4-2,2001,2002,,2,2002-4-2,2002-4-2
F603,1243537,1243537,LCO,California Maritime Coalition,,2002-4-4,2002,2002,,0,2002-4-4,2002-4-4
F603,E24708,E24708,LEM,Cabazon Band of Mission Indians,,2002-4-4,2001,2002,,1,2002-4-4,2002-4-4
F603,E21972,E21972,LEM,American Heart Association,,2001-10-31,2001,2002,,2,2001-10-31,2001-10-31
F603,E21972,E21972,LEM,American Heart Association,,2001-10-31,2001,2002,,3,2001-10-31,2001-10-31
F603,E21972,E21972,LEM,American Heart Association,,2001-10-31,2001,2002,,4,2001-10-31,2001-10-31
