F601,F00026,F00026,FRM,MESSERSMITH GROUP INC. THE,,2002-12-9,2003,2004,,0,2002-12-9,2002-12-9
F601,F23336,F23336,FRM,DAMM & ASSOCIATES RICHARD,,2002-12-9,2003,2004,,0,2002-12-9,2002-12-9
F601,F00369,F00369,FRM,"Nossaman, Guthner, Knox & Elliott, LLP",,2002-12-9,2003,2004,,0,2002-12-9,2002-12-9
F601,1239029,1239029,FRM,JA CONSULTANTS,,2002-12-9,2003,2004,,0,2002-12-9,2002-12-9
F601,F00369,F00369,FRM,"Nossaman, Guthner, Knox & Elliott, LLP",,2002-12-11,2003,2004,,1,2002-12-11,2002-12-11
F601,F00773,F00773,FRM,SMITH KEMPTON & WATTS,,2002-12-3,2003,2004,,0,2002-12-3,2002-12-3
F601,F24082,F24082,FRM,APEX GROUP THE,,2002-11-25,2003,2004,,0,2002-11-25,2002-11-25
F601,F24771,F24771,FRM,C.N.P.A. Services Inc.,,2000-12-31,2001,2002,,0,2000-12-31,2000-12-31
F601,1224353,1224353,FRM,Law Offices of Antonio Salazar-Hobson,,2001-1-1,2001,2002,,0,2001-1-1,2001-1-1
F601,F00552,F00552,FRM,Livingston &  Mattesich Law Corporation,,2002-12-19,2003,2004,,0,2002-12-19,2002-12-19
F601,F00610,F00610,FRM,"READ & ASSOCIATES, AARON",,2002-12-19,2003,2004,,0,2002-12-19,2002-12-19
F601,F00651,F00651,FRM,WHITE ASSOCIATES V. JOHN,,2002-12-12,2003,2004,,0,2002-12-12,2002-12-12
F601,F24805,F24805,FRM,Ross Communications,,2002-12-20,2003,2004,,0,2002-12-20,2002-12-20
F601,F00419,F00419,FRM,ROBERSON & ASSOCIATES GABRIEL R.,,2002-12-27,2003,2004,,0,2002-12-27,2002-12-27
F601,F22074,F22074,FRM,Norwood & Associates,,2002-12-27,2003,2004,,0,2002-12-27,2002-12-27
F601,F24684,F24684,FRM,GOODIN MAC BRIDE SQUERI RITCHIE & DAY LLP,,2001-5-14,2001,2002,,0,2001-5-14,2001-5-14
F601,F00369,F00369,FRM,Nossaman Guthner Knox & Elliott LLP,,2001-5-18,2001,2002,,26,2001-5-18,2001-5-18
F601,F24805,F24805,FRM,Ross Communications,,2001-5-22,2001,2002,,1,2001-5-22,2001-5-22
F601,F24805,F24805,FRM,Ross Communications,,2001-5-22,2001,2002,,2,2001-5-22,2001-5-22
F601,F01002,F01002,FRM,Marc Brown and Associates,,2001-5-23,2001,2002,,1,2001-5-23,2001-5-23
F601,F24824,F24824,FRM,Hyde Miller Owen & Trost,,2001-5-23,2001,2002,,1,2001-5-23,2001-5-23
F601,F24824,F24824,FRM,Hyde Miller Owen & Trost,,2001-5-23,2001,2002,,2,2001-5-23,2001-5-23
F601,F24805,F24805,FRM,Ross Communications,,2001-5-23,2001,2002,,3,2001-5-23,2001-5-23
F601,F24805,F24805,FRM,Ross Communications,,2001-1-2,2001,2002,,0,2001-1-2,2001-1-2
F601,F24696,F24696,FRM,Christine Minnehan and Associates,,2001-1-2,2001,2002,,0,2001-1-2,2001-1-2
F601,F00369,F00369,FRM,Nossaman Guthner Knox & Elliott LLP,,2001-1-3,2001,2002,,4,2001-1-3,2001-1-3
F601,F00369,F00369,FRM,Nossaman Guthner Knox & Elliott LLP,,2001-1-3,2001,2002,,5,2001-1-3,2001-1-3
F601,F21409,F21409,FRM,COWGER & ASSOCIATES,,2001-1-4,2001,2002,,0,2001-1-4,2001-1-4
F601,F00369,F00369,FRM,Nossaman Guthner Knox & Elliott LLP,,2001-1-4,2001,2002,,6,2001-1-4,2001-1-4
F601,1222712,1222712,FRM,COMMUNITY DEVELOPMENT SERVICES,,2001-1-4,2001,2002,,0,2001-1-4,2001-1-4
F601,F00369,F00369,FRM,Nossaman Guthner Knox & Elliott LLP,,2001-1-11,2001,2002,,7,2001-1-11,2001-1-11
F601,F01035,F01035,FRM,HAUSEY & ASSOCIATES WILLIE,,2001-1-17,2001,2002,,0,2001-1-17,2001-1-17
F601,F00696,F00696,FRM,ADVOCAL,,2001-1-4,2001,2002,,0,2001-1-4,2001-1-4
F601,F00968,F00968,FRM,BARNABY INC. WILLIAM E.,,2001-1-24,2000,2002,,0,2001-1-24,2001-1-24
F601,F00024,F00024,FRM,GLADFELTY GOVERNMENT RELATIONS,,2002-12-19,2003,2004,,0,2002-12-19,2002-12-19
F601,F00369,F00369,FRM,Nossaman Guthner Knox & Elliott LLP,,2000-12-11,2001,2002,,0,2000-12-11,2000-12-11
F601,E24587,E24587,LEM,LOS ANGELES COUNTY - DISTRICT ATTORNEYS OFFICE,,2002-3-28,2001,2002,,0,2002-3-28,2002-3-28
F601,F00369,F00369,FRM,"Nossaman, Guthner, Knox & Elliott, LLP",,2002-4-3,2001,2002,,60,2002-4-3,2002-4-3
F601,F00057,F00057,FRM,Morshed and Associates,,2002-4-4,2001,2002,,7,2002-4-4,2002-4-4
F601,F01002,F01002,FRM,Marc Brown and Associates,,2002-4-4,2001,2002,,3,2002-4-4,2002-4-4
F601,F01002,F01002,FRM,Marc Brown and Associates,,2002-4-4,2001,2002,,4,2002-4-4,2002-4-4
F601,F01002,F01002,FRM,Marc Brown and Associates,,2002-4-4,2001,2002,,5,2002-4-4,2002-4-4
F601,F01002,F01002,FRM,Marc Brown and Associates,,2002-4-4,2001,2002,,6,2002-4-4,2002-4-4
F601,F01002,F01002,FRM,Marc Brown and Associates,,2002-4-4,2001,2002,,7,2002-4-4,2002-4-4
F601,F01002,F01002,FRM,Marc Brown and Associates,,2002-4-4,2001,2002,,8,2002-4-4,2002-4-4
F601,F01002,F01002,FRM,Marc Brown and Associates,,2002-4-4,2001,2002,,9,2002-4-4,2002-4-4
F601,F01002,F01002,FRM,Marc Brown and Associates,,2002-4-4,2001,2002,,10,2002-4-4,2002-4-4
F601,F24696,F24696,FRM,Christine Minnehan and Associates,,2002-4-4,2001,2002,,3,2002-4-4,2002-4-4
F601,F24696,F24696,FRM,Christine Minnehan and Associates,,2002-4-4,2001,2002,,4,2002-4-4,2002-4-4
F601,F24696,F24696,FRM,Christine Minnehan and Associates,,2002-4-4,2001,2002,,5,2002-4-4,2002-4-4
F601,F24696,F24696,FRM,Christine Minnehan and Associates,,2002-4-4,2001,2002,,6,2002-4-4,2002-4-4
F601,F24696,F24696,FRM,Christine Minnehan and Associates,,2002-4-4,2001,2002,,7,2002-4-4,2002-4-4
F601,F24696,F24696,FRM,Christine Minnehan and Associates,,2002-4-4,2001,2002,,8,2002-4-4,2002-4-4
F601,F24696,F24696,FRM,Christine Minnehan and Associates,,2002-4-4,2001,2002,,9,2002-4-4,2002-4-4
F601,F24696,F24696,FRM,Christine Minnehan and Associates,,2002-4-4,2001,2002,,10,2002-4-4,2002-4-4
F601,F24696,F24696,FRM,Christine Minnehan and Associates,,2002-4-4,2001,2002,,11,2002-4-4,2002-4-4
F601,F00602,F00602,FRM,Orrick Herrington & Sutcliffe LLP,,2001-10-31,2001,2002,,1,2001-10-31,2001-10-31
F601,F00369,F00369,FRM,Nossaman Guthner Knox & Elliott LLP,,2001-11-1,2001,2002,,46,2001-11-1,2001-11-1
F601,F00057,F00057,FRM,Morshed and Associates,,2001-11-5,2001,2002,,0,2001-11-5,2001-11-5
F601,F00057,F00057,FRM,Morshed and Associates,,2001-11-5,2001,2002,,1,2001-11-5,2001-11-5
F601,F00057,F00057,FRM,Morshed and Associates,,2001-11-5,2001,2002,,2,2001-11-5,2001-11-5
F601,F00057,F00057,FRM,Morshed and Associates,,2001-11-5,2001,2002,,3,2001-11-5,2001-11-5
F601,F00057,F00057,FRM,Morshed and Associates,,2001-11-6,2001,2002,,4,2001-11-6,2001-11-6
F601,F00602,F00602,FRM,Orrick Herrington & Sutcliffe LLP,,2001-11-9,2001,2002,,2,2001-11-9,2001-11-9
F601,F24805,F24805,FRM,Ross Communications,,2001-11-12,2001,2002,,7,2001-11-12,2001-11-12
F601,F24805,F24805,FRM,Ross Communications,,2001-11-12,2001,2002,,8,2001-11-12,2001-11-12
F601,F24805,F24805,FRM,Ross Communications,,2001-11-12,2001,2002,,9,2001-11-12,2001-11-12
F601,F24805,F24805,FRM,Ross Communications,,2001-11-12,2001,2002,,10,2001-11-12,2001-11-12
