F604,1232581,L22607,LBY,HALL,JOAN M.,2002-12-6,2002,2004,Joan Hall Consulting,0,2002-12-6,2002-12-6
F604,F23336,L23337,LBY,DAMM,RICHARD E.,2002-12-9,2003,2004,DAMM & ASSOCIATES RICHARD,0,2002-12-9,2002-12-9
F604,1233643,1233644,LBY,MARCOCCIA,DEAN L.,2002-12-10,2003,2004,SANKYO PHARMA,0,2002-12-10,2002-12-10
F604,1239029,1239031,LBY,Gelfat,Julie R.,2002-12-10,2003,2004,JA CONSULTANTS,0,2002-12-10,2002-12-10
F604,1239029,1239030,LBY,Hart,Alexandra,2002-12-10,2003,2004,JA CONSULTANTS,0,2002-12-10,2002-12-10
F604,F00026,L22956,LBY,ADLER,LEE L.,2002-12-10,2002,2002,MESSERSMITH GROUP INC. THE,0,2002-12-10,2002-12-10
F604,E00453,L25177,LBY,Wiegner,Melanie L.,2002-12-20,2003,2004,Ford Motor Company,0,2002-12-20,2002-12-20
F604,F24082,L25612,LBY,KRAUSS,WILLIAM E.,2002-12-20,2003,2004,APEX GROUP THE,0,2002-12-20,2002-12-20
F604,E00062,L25170,LBY,PERRIN,LARRY D.,2000-12-29,2001,2002,AUTOMOBILE CLUB OF SOUTHERN CALIFORNIA/INTERINSURANCE EXCHANGE OF THE AUTOMOBILE CLUB/ACSC MANAGEMENT SERVICES INC.,0,2000-12-29,2000-12-29
F604,C27623,L25697,LBY,ASTACAAN,ERIC-JOSEPH C.,2000-12-29,2001,2002,CALIFORNIA ALLIANCE FOR PRIDE & EQUALITY (CAPE),0,2000-12-29,2000-12-29
F604,E00085,L00070,LBY,Meral,Gerald H.,2000-12-31,2001,2002,Planning and Conservation League,0,2000-12-31,2000-12-31
F604,E00085,L25779,LBY,Spelliscy,Sandra A.,2000-12-31,2001,2002,Planning and Conservation League,0,2000-12-31,2000-12-31
F604,F24771,L25174,LBY,Ewert,James W.,2000-12-31,2001,2002,C.N.P.A. Services Inc.,0,2000-12-31,2000-12-31
F604,F24771,L23407,LBY,Newton,Thomas W.,2000-12-31,2001,2002,C.N.P.A. Services Inc.,0,2000-12-31,2000-12-31
F604,E24609,1222982,LBY,Guillen,Rosalinda,2001-1-1,2001,2002,United Farm Workers of America AFL-CIO,0,2001-1-1,2001-1-1
F604,E24609,1222983,LBY,Guzman,Martha,2001-1-1,2001,2002,United Farm Workers of America AFL-CIO,0,2001-1-1,2001-1-1
F604,E00019,L22556,LBY,Renken,Theresa M.,2001-1-1,2001,2002,American Cancer Society California Division Inc.,0,2001-1-1,2001-1-1
