FORM_TYPE,SENDER_ID,FILER_ID,ENTITY_CD,FILER_NAML,FILER_NAMF,RPT_DATE,LS_BEG_YR,LS_END_YR,FIRM_NAME,AMEND_ID,QUAL_DATE,EFF_DATE
F607,C27533,1233042,LBY,Bagley,Michael,2/12/2003 12:00:00 AM,2003,2004,Verizon Wireless,0,1/1/2003 12:00:00 AM,1/1/2003 12:00:00 AM
F607,F00369,L00715,LBY,Spohn,Richard B.,1/1/2005 12:00:00 AM,2005,2006,"Nossaman, Guthner, Knox & Elliott, LLP",0,1/1/2005 12:00:00 AM,1/1/2005 12:00:00 AM
F607,1263717,1263717,LBY,GUYAN,SUZANNE,10/18/2005 12:00:00 AM,2005,2006,COSTCO WHOLESALE CORPORATION,0,,1/1/2005 12:00:00 AM
F607,E00383,L25136,LBY,SAVAGE,Mark,7/28/2005 12:00:00 AM,2005,2006,"Consumers Union of U.S., Inc.",0,5/8/2003 12:00:00 AM,4/3/2005 12:00:00 AM
F607,1252406,L01886,LBY,Carter,Art R.,10/31/2005 12:00:00 AM,2005,2006,,0,,9/30/2005 12:00:00 AM
F607,1294112,1294113,LBY,SYLLA,MARY M.,10/31/2007 12:00:00 AM,2007,2008,CENTER FOR HEALTH JUSTICE,0,,10/31/2007 12:00:00 AM
F607,1295371,1274269,LBY,FANSLAU,JUSTIN E.,6/10/2008 12:00:00 AM,2007,2008,"FANSLAU, LLC.; JUSTIN",0,,12/31/2007 12:00:00 AM
F607,1278221,1294668,LBY,VAUGHN,JAMES,6/25/2008 12:00:00 AM,2007,2008,LOG CABIN REPUBLICANS,0,,6/30/2008 12:00:00 AM
F607,1237504,1276718,LBY,MARTIN,JAMES E.,4/13/2009 12:00:00 AM,2009,2010,RECREATIONAL FISHING ALLIANCE,0,,3/1/2009 12:00:00 AM
F607,F20469,1293929,LBY,SMITH,GLORIA D.,2/5/2009 12:00:00 AM,2009,2010,"ADAMS BROADWELL JOSEPH & CARDOZO, A PROFESSIONAL CORPORATION",0,,2/5/2009 12:00:00 AM
F607,F20469,1314299,LBY,FOLEY,PAUL F.,2/5/2009 12:00:00 AM,2009,2010,"ADAMS BROADWELL JOSEPH & CARDOZO, A PROFESSIONAL CORPORATION",0,,2/5/2009 12:00:00 AM
F607,L25830,L25830,LBY,REHEIS-BOYD,CATHERINE H.,2/9/2009 12:00:00 AM,2009,2010,WESTERN STATES PETROLEUM ASSOCIATION,0,,2/6/2009 12:00:00 AM
F607,1273600,1307041,LBY,AREIAS,RUSTY,8/5/2009 12:00:00 AM,2009,2010,"CALIFORNIA STRATEGIES & ADVOCACY, LLC",0,,1/1/2009 12:00:00 AM
F607,1307809,1307809,FRM,HAMILTON CONSULTING INC.,,7/9/2009 12:00:00 AM,2009,2010,,0,,6/11/2009 12:00:00 AM
F607,1274228,L25869,LBY,HAJELA,ABHAS,8/20/2009 12:00:00 AM,2009,2010,SCHOOL INNOVATIONS & ADVOCACY,0,,1/1/2009 12:00:00 AM
F607,1276136,1276136,LBY,Martinez,Samantha,9/15/2009 12:00:00 AM,2009,2010,Rose & Kindel,0,,1/1/2009 12:00:00 AM
F607,F00641,L25122,LBY,WARRINER,TIM,7/16/2009 12:00:00 AM,2009,2010,"ELLISON WILSON ADVOCACY, LLC",0,,4/17/2009 12:00:00 AM
F607,1277507,1277509,LBY,TURNER,JARL R.,10/30/2009 12:00:00 AM,2009,2010,TURNER CONSULTING,0,,1/1/2009 12:00:00 AM
F607,1305923,1305923,FRM,CONSULTANTS COLLABORATIVE,,2/1/2010 12:00:00 AM,2009,2010,,0,,1/29/2009 12:00:00 AM
F607,1304118,1304118,FRM,WINDSOR GROUP,,2/11/2010 12:00:00 AM,2009,2010,,0,,8/31/2009 12:00:00 AM
F607,1304118,1305717,LBY,TAYLOR,SAMII L.,2/11/2010 12:00:00 AM,2009,2010,WINDSOR GROUP,0,,8/30/2009 12:00:00 AM
F607,1315314,1293990,LBY,GIBBS,TIMOTHY M.,1/4/2010 12:00:00 AM,2009,2010,NATIONAL PARKS CONSERVATION ASSOCIATION,0,,1/4/2009 12:00:00 AM
F607,1305665,1305665,LBY,Lehtonen,Lesla,7/16/2009 12:00:00 AM,2009,2010,CALIFORNIA CABLE & TELECOMMUNICATIONS ASSOCIATION,0,,1/1/2009 12:00:00 AM
F607,1240089,1312123,LBY,DANIELS-EDWARDS,CLAIS I.,9/15/2010 12:00:00 AM,2009,2010,UNIVERSITY OF CALIFORNIA STUDENT ASSOCIATION,0,,7/1/2010 12:00:00 AM
F607,1305923,1312334,LBY,SIMMONS,MATTHEW R.,9/14/2010 12:00:00 AM,2009,2010,CONSULTANTS COLLABORATIVE,0,,1/1/2009 12:00:00 AM
F607,E00768,L20708,LBY,Hughes,John P.,8/18/2010 12:00:00 AM,2009,2010,EDISON INTERNATIONAL & AFFILIATES (SEE FORM 635 FOR ENTIRE FILER NAME),0,,1/1/2009 12:00:00 AM
F607,1302189,1318720,LBY,GILLIAM,LISA SCOTT,1/26/2011 12:00:00 AM,2011,2012,"RECKITT BENCKISER PHARMACEUTICALS, INC.",0,,1/26/2011 12:00:00 AM
F607,1334906,1334936,LBY,PETERSON,ERIKA,7/30/2011 12:00:00 AM,2011,2012,"BARCLAYS CAPITAL, INC.",0,,6/30/2011 12:00:00 AM
F607,1335446,1338034,LBY,OREKHOV,ERIN DOYLE,8/1/2011 12:00:00 AM,2011,2012,"DEUTSCHE BANK SECURITIES, INC.",0,,8/1/2011 12:00:00 AM
F607,E00032,1326545,LBY,KOZUCH,RANDY,3/14/2011 12:00:00 AM,2011,2012,NATIONAL RIFLE ASSOCIATION - INSTITUTE FOR LEGISLATIVE ACTION,0,,1/1/2011 12:00:00 AM
F607,1334680,1334692,LBY,HOLIHEN,TIMOTHY P.,3/28/2011 12:00:00 AM,2011,2012,J.P. MORGAN ASSET MANAGEMENT,0,,2/8/2011 12:00:00 AM
F607,1275432,1275435,LBY,HORTON,CALETHIA,3/24/2011 12:00:00 AM,2007,2008,HORTON LOBBYING FIRM,0,,3/24/2011 12:00:00 AM
F607,1275432,1275435,LBY,HORTON,CALETHIA,3/24/2011 12:00:00 AM,2009,2010,HORTON LOBBYING FIRM,0,,3/24/2011 12:00:00 AM
